layer	pc1_var	pc2_var	silhouette	between_centroid_std_pc1	between_centroid_std_pc2
2	0.27441465854644775	0.1611192226409912	-0.10911855101585388	0.598375684050745	0.3911448934390694
3	0.24098584055900574	0.1479763686656952	-0.08732307702302933	0.602128140254449	0.4259437921782757
4	0.23034948110580444	0.1452559381723404	-0.07737060636281967	0.600847724481119	0.4438823293693309
5	0.1616862416267395	0.11869264394044876	-0.05941031873226166	0.5990946702617385	0.5321934210495843
6	0.1101282611489296	0.08992955833673477	-0.0356610007584095	0.8218432509797259	0.593803988901027
7	0.15200968086719513	0.1301216185092926	-0.07649977505207062	1.2170119004111515	0.6838976137280975
8	0.1990099996328354	0.1354013830423355	-0.09433664381504059	0.7075030475159172	1.2135670382240469
9	0.17640884220600128	0.13748565316200256	-0.08652794361114502	0.7215050160229	1.1792644660960763
10	0.15706022083759308	0.1549031138420105	-0.08194170892238617	1.1201773851663268	0.924221589516509
11	0.17422781884670258	0.11720285564661026	-0.05155881494283676	1.4854844157022964	0.7538329904327807
12	0.17045441269874573	0.11436380445957184	-0.04572879523038864	1.29165388078531	0.4472561351693382
13	0.16985513269901276	0.1152913048863411	-0.045506879687309265	1.276437692657686	0.44313029473925614
14	0.16370178759098053	0.1160796657204628	-0.042804114520549774	1.2593494516341	0.4497404571971171
15	0.1865873485803604	0.11105984449386597	-0.019937550649046898	1.2636246285704764	0.5979041387073208
16	0.17867721617221832	0.11972405016422272	-0.027922729030251503	1.333110085606843	0.7830826555432111
17	0.1743331104516983	0.1455404907464981	-0.050057098269462585	1.2138100506312768	0.6152020963488053
18	0.16916315257549286	0.1231469213962555	-0.036187026649713516	1.3784407231269777	0.7333282296518736
19	0.17624472081661224	0.13605494797229767	-0.03568094223737717	1.4373871683221295	0.7831750643607365
20	0.18844403326511383	0.15769453346729279	-0.05716387927532196	1.1303597453553695	1.2656067317431183
21	0.22614380717277527	0.1247229352593422	-0.05606094002723694	1.7208798670025522	1.303590529205753
22	0.2566702365875244	0.10954703390598297	-0.05664844065904617	2.4261073468539767	1.5746537490534573
23	0.3027573823928833	0.0977352187037468	-0.03952914848923683	2.9377153681157737	1.6875931728764204
24	0.2710641920566559	0.12453333288431168	0.012513967230916023	3.5983929257942298	2.7896584764659185
25	0.2533986270427704	0.1342134177684784	0.042391058057546616	4.254673155512131	3.270226157137016
26	0.23439325392246246	0.14888542890548706	0.0035644788295030594	4.527181155148355	3.3716777856975457
27	0.27494335174560547	0.12260187417268753	-0.02167978137731552	5.470166083351854	3.0023121077236317
28	0.25930601358413696	0.1415303349494934	-0.027171097695827484	4.504255033965549	2.707961793048033
29	0.22669735550880432	0.1273006945848465	0.0056569864973425865	4.183195704315189	2.402582236236192
30	0.236014261841774	0.12064708769321442	0.013323423452675343	4.811644063213869	2.7123701714661443
31	0.25621795654296875	0.09450054913759232	0.04229817911982536	6.698111676388943	3.712792952177213
32	0.2626935839653015	0.10246613621711731	0.0597749724984169	8.279209057666018	5.037577479259268
33	0.26860323548316956	0.10687918215990067	0.10924988985061646	9.725100624113653	5.948900925369041
34	0.28267040848731995	0.11004572361707687	0.1537962108850479	11.384364315969306	6.6749568813681215
35	0.2738495469093323	0.1075192391872406	0.16368147730827332	10.602560393662245	6.242419019966347
36	0.2667871117591858	0.1134444922208786	0.2176050990819931	10.462513545589037	6.5107340839148735
37	0.25428277254104614	0.12213030457496643	0.1622060388326645	10.638503942673145	7.231314385470158
38	0.24347323179244995	0.13294237852096558	0.13805094361305237	10.953524620638994	7.933111482992932
39	0.20452441275119781	0.15415266156196594	0.18499484658241272	14.57555520982127	12.3554760990226
40	0.24177944660186768	0.16965392231941223	0.16097573935985565	16.092934745691064	12.94620104203628
41	0.22382988035678864	0.17303960025310516	0.14813585579395294	14.401815908351118	12.088129437622811
42	0.24273842573165894	0.15757228434085846	0.1840856671333313	15.331344439357638	11.894833841823468
43	0.2526850998401642	0.16430272161960602	0.1576981544494629	14.577208359195671	11.27344530420571
44	0.2517034709453583	0.1518479585647583	0.18209101259708405	15.719018181924417	11.673096300164705
45	0.26533499360084534	0.14843548834323883	0.1868182122707367	15.97211249628647	11.389662204656636
46	0.2608179450035095	0.15056630969047546	0.1792164444923401	15.875851201958561	11.554644546156378
47	0.31768798828125	0.14431966841220856	0.18418565392494202	18.24311723770924	12.058067692070956
48	0.3037799298763275	0.14405933022499084	0.1897321343421936	17.636229640364334	11.960140798848865
49	0.28897625207901	0.14794008433818817	0.18830713629722595	16.644486078848203	11.62245873177427
50	0.2883436381816864	0.14450392127037048	0.18127666413784027	16.036287324933785	11.096356031563372
51	0.29906970262527466	0.14226172864437103	0.17465965449810028	17.87554537839456	12.156398764071302
52	0.2924833595752716	0.15333499014377594	0.19432583451271057	17.72935190366031	12.703552888472133
53	0.2950817346572876	0.15186068415641785	0.20736344158649445	17.149176034274294	12.171975703347323
54	0.27705273032188416	0.1488071084022522	0.24863798916339874	18.163851623333493	12.988335145012668
55	0.27298808097839355	0.1487397402524948	0.24923445284366608	19.663318420683133	14.119803473753771
56	0.27796486020088196	0.1493450105190277	0.23906826972961426	21.012226178988904	14.801966990760452
57	0.2738834321498871	0.14868082106113434	0.24334096908569336	25.43310187015672	17.867124891096402
