component	explained_variance_pct	t0_happy.sad_r	tlast_happy.sad_r	t0_angry.calm_r	tlast_angry.calm_r	t0_fearful.unflinching_r	tlast_fearful.unflinching_r
PC1	24.488021850585938	-0.6946681847167953	-0.11373408979627406	0.3717824266579083	0.0349989354773246	0.3298881631754241	0.047949786405506345
PC2	14.151555061340332	-0.2554333704283458	-0.16761169206714216	-0.49631141174570836	0.08557489666759269	-0.5639719505030121	-0.11215571718460252
PC3	12.224784851074219	-0.08840149427903778	0.12244260105140106	-0.019765029814657893	-0.09173410067144142	0.14214123482088492	0.0025339226554513443
PC4	5.97546911239624	-0.13095684854140172	-0.03098688155710122	0.1971167127817321	0.02838055685922901	-4.609899600801657e-06	-0.006424860972603058
PC5	4.507859230041504	-0.0804713718090489	0.02811727382737241	-0.14320686540350275	-0.019783773022171006	-0.17127113384800796	0.018947398057903454
PC6	3.5983688831329346	-0.17982216901127596	-0.037723381462108185	0.1854002079702762	0.029046095335080062	0.26245191068071605	-0.044476815939453046
PC7	2.80541729927063	-0.24491132853414127	-0.08927420350919782	0.17740670362689404	0.09892929401921005	0.19537622099422736	-0.07469314339569968
PC8	2.3877665996551514	-0.2872090787998469	-0.011691844439539977	0.03529980896373566	-0.028345760651119323	0.373464970913875	0.07840161279278775
