first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
(⊙_⊙)	242	-0.260163813829422	1.2601637840270996	0.9966869354248047	0.8553719008264463	HB
(╯°□°)	172	-0.293157696723938	1.293157696723938	0.9979875087738037	0.8953488372093024	HN
(๑˃‿˂)	165	0.07719273865222931	0.9228072762489319	0.9975292086601257	0.7636363636363637	HP
(｡・́︿・̀｡)	149	-0.08851763606071472	1.088517665863037	0.9978054761886597	0.8791946308724832	LN
(｡♥‿♥｡)	102	0.1777513474225998	0.822248637676239	0.9981287121772766	0.7254901960784313	NP
(｡◕‿◕｡)	87	0.16846750676631927	0.8315324783325195	0.9983404874801636	0.8505747126436781	NB
(͡°͜ʖ͡°)	82	-0.1160699799656868	1.116070032119751	0.9985044598579407	0.8780487804878049	HP
(｡╯︵╰｡)	39	-0.025720488280057907	1.025720477104187	0.9986891746520996	0.3076923076923077	LN
(✿◠‿◠)	39	0.19042421877384186	0.8095757961273193	0.9980538487434387	0.23076923076923078	LP
(˘▽˘)	37	0.14870138466358185	0.8512986302375793	0.9981470704078674	0.35135135135135137	NP
(｡˃‿˂)	23	0.1304159313440323	0.8695840835571289	0.9984369874000549	0.13043478260869565	HP
(⊙﹏⊙)	21	-0.11597131937742233	1.115971326828003	0.9986151456832886	0.0	HN
(ﾉ◕ヮ◕)	20	0.09866157919168472	0.9013383984565735	0.9990941286087036	0.0	HP
(｡・̀‿-)	18	0.15111520886421204	0.8488848209381104	0.998775839805603	0.0	NB
(｡‿‿‿｡)	18	0.21377283334732056	0.7862271666526794	0.9988394975662231	0.0	LP
(˘ω˘)	17	0.2169891744852066	0.7830108404159546	0.9984427094459534	0.058823529411764705	LP
(´▽`)	15	0.2250877022743225	0.7749122977256775	0.9981573224067688	0.26666666666666666	LP
(´ω`)	12	0.029270406812429428	0.9707295894622803	0.9980645179748535	0.0	LN
(╥﹏╥)	12	-0.05560358613729477	1.0556036233901978	0.9970359802246094	0.0	HN
(≧▽≦)	12	0.07832152396440506	0.9216784834861755	0.998811662197113	0.0	HP
(˘̩╭╮˘̩)	12	-0.006155048497021198	1.006155014038086	0.9985958933830261	0.0	LN
(・_・)	10	0.10369329154491425	0.8963066935539246	0.9987615346908569	0.0	NB
(˘ڡ˘)	9	0.20532351732254028	0.7946764826774597	0.9989851117134094	0.0	LP
(・̀ω・́)	8	0.09907831251621246	0.9009217023849487	0.9987800717353821	0.0	NB
(‿‿‿)	8	0.1785203367471695	0.8214796781539917	0.9978691339492798	0.0	LP
(˙꒳˙)	8	0.13390138745307922	0.8660986423492432	0.9988253712654114	0.0	NB
(◕‿◕)	6	0.0854143276810646	0.9145856499671936	0.9985359907150269	0.0	HP
(｡>﹏<｡)	5	-0.1359938085079193	1.1359938383102417	0.9991946220397949	0.0	HN
(★ω★)	5	0.04878953471779823	0.9512104392051697	0.999116063117981	0.0	HP
(｡・ㅅ・｡)	5	0.19423934817314148	0.8057606220245361	0.9984092116355896	0.0	LP
