cell	delta_norm	coherence_with_mean
hpd	180.39817810058594	0.6526421904563904
hps	150.99095153808594	0.5229111313819885
lp	132.74171447753906	0.6171059608459473
np	126.96522521972656	0.7364948391914368
hnd	288.949462890625	0.7935341596603394
hns	173.18870544433594	0.7948921918869019
ln	174.84634399414062	0.7759450078010559
nb	157.32347106933594	0.7063384652137756
hb	195.53024291992188	0.7885549068450928
