probe	namespace	extract_method	covered_layers	covered_layer_min	covered_layer_max	vec_norm	pc1_loading	pc1_cosine	pc2_loading	pc2_cosine	pc3_loading	pc3_cosine	pc4_loading	pc4_cosine	pc5_loading	pc5_cosine	pc6_loading	pc6_cosine	pc7_loading	pc7_cosine	pc8_loading	pc8_cosine
hp.ln	llmoji	dim	56	2	57	196.1044464111328	116.20597076416016	0.5925801992416382	145.65574645996094	0.742760419845581	30.1472225189209	0.1537327766418457	-34.51138687133789	-0.17598888278007507	-27.031953811645508	-0.13784700632095337	8.655925750732422	0.04414048418402672	18.01190948486328	0.09185024350881577	-2.449639320373535	-0.012491783127188683
hp.lp	llmoji	dim	56	2	57	144.3189239501953	-29.43138885498047	-0.20393584668636322	118.99595642089844	0.824550986289978	-16.370864868164062	-0.11343705654144287	-10.833815574645996	-0.0750703513622284	-35.21027374267578	-0.2439795732498169	-28.027448654174805	-0.19420987367630005	-48.90997314453125	-0.33890828490257263	-9.198955535888672	-0.06374189257621765
hnd.hns	llmoji	dim	56	2	57	136.01400756835938	-23.63951873779297	-0.17380450665950775	53.88730239868164	0.3961971402168274	34.386741638183594	0.2528214752674103	71.39988708496094	0.5249574780464172	56.89541244506836	0.41831251978874207	13.222859382629395	0.09721934795379639	13.167519569396973	0.09681180864572525	-63.7171516418457	-0.46847066283226013
