layer	pc1_var	pc2_var	silhouette	between_centroid_std_pc1	between_centroid_std_pc2
2	0.4549213945865631	0.2432699352502823	-0.10286541283130646	0.414928682004388	0.4732260723118098
3	0.4489835798740387	0.23461896181106567	-0.10389237850904465	0.4249500918557791	0.46386476778382923
4	0.41396117210388184	0.2609754502773285	-0.104912169277668	0.44214521769818793	0.5043401929516099
5	0.4144402742385864	0.2607247531414032	-0.10401133447885513	0.45716940337911915	0.5000741151156541
6	0.41321104764938354	0.26039886474609375	-0.10430894792079926	0.45848500183233554	0.49913667949118823
7	0.41291001439094543	0.259322851896286	-0.10444562882184982	0.45746436127384427	0.4971537515830935
8	0.39059874415397644	0.26297008991241455	-0.10735685378313065	0.4355973550509842	0.4814764837897173
9	0.354147732257843	0.26838022470474243	-0.1092425137758255	0.37787862072514833	0.47898915009136356
10	0.34314098954200745	0.24724869430065155	-0.10983935743570328	0.29235826956055383	0.43570806197604045
11	0.35311615467071533	0.22484275698661804	-0.11062334477901459	0.2689998353271664	0.41535326763734115
12	0.2352968454360962	0.14044786989688873	-0.11257835477590561	0.2945311946852259	0.41466493534742915
13	0.2256355583667755	0.13376617431640625	-0.11561425030231476	0.2770363701079708	0.3876958133041344
14	0.19450990855693817	0.11564148217439651	-0.12157133966684341	0.2743692834843074	0.3920155988841282
15	0.15615618228912354	0.09683763235807419	-0.12127593159675598	0.2766876454258505	0.408775911719308
16	0.12467556446790695	0.083025261759758	-0.11735064536333084	0.29176664406207264	0.4454462801907952
17	0.12138232588768005	0.08710381388664246	-0.1154392883181572	0.25520390699108947	0.4248065376671737
18	0.11876538395881653	0.08436230570077896	-0.09664692729711533	0.24066652220506804	0.44861425087699264
19	0.1153719499707222	0.08691120147705078	-0.09040160477161407	0.24201965441497486	0.4447651860953153
20	0.11619710922241211	0.08790085464715958	-0.08841598033905029	0.252208047492362	0.40300055524040596
21	0.10732001811265945	0.08700503408908844	-0.06736904382705688	0.3448880533523716	0.3527286121741395
22	0.1001034677028656	0.07902584969997406	-0.016933022066950798	0.5429824022418335	0.22930183516417854
23	0.11657817661762238	0.07567985355854034	0.017324667423963547	0.6841921743171427	0.3704079319337791
24	0.13616728782653809	0.07714912295341492	0.02103278413414955	0.7652571384961899	0.4373648364237577
25	0.14734624326229095	0.06604889035224915	0.03451884910464287	0.9101995799380826	0.4689872850074901
26	0.14865291118621826	0.06720093637704849	0.040928665548563004	0.9022560439193625	0.45434175696981494
27	0.15186604857444763	0.0676417201757431	0.0403808057308197	0.8914047778230195	0.42867205195958447
28	0.17417004704475403	0.07963491976261139	0.05242875590920448	1.007140005556352	0.4798504977926966
29	0.18041656911373138	0.08339368551969528	0.050778888165950775	1.028380938045799	0.5305821854742251
30	0.19334915280342102	0.08898229151964188	0.04654115438461304	1.0836489289573599	0.6086789908053434
31	0.21064889430999756	0.08849833160638809	0.036970555782318115	1.124065011788583	0.6284372427868776
32	0.2285892218351364	0.09889986366033554	0.02441529743373394	1.2761662885614895	0.7031700493934394
33	0.20704060792922974	0.09084977209568024	0.03573191538453102	1.4242832140276347	0.8164954806124529
34	0.19514146447181702	0.08562839031219482	0.03135119751095772	1.5027682761265047	0.8954497320720924
35	0.20113371312618256	0.08349701017141342	0.015384496189653873	1.596512589899914	0.8475224403959234
