probe	namespace	extract_method	covered_layers	covered_layer_min	covered_layer_max	vec_norm	pc1_loading	pc1_cosine	pc2_loading	pc2_cosine	pc3_loading	pc3_cosine	pc4_loading	pc4_cosine	pc5_loading	pc5_cosine	pc6_loading	pc6_cosine	pc7_loading	pc7_cosine	pc8_loading	pc8_cosine
happy.sad	default	dim	23	3	57	25.092344284057617	0.5599572062492371	0.022316528484225273	-0.988184928894043	-0.039383187890052795	-0.06225802004337311	-0.0024812237825244665	0.21843694150447845	0.00870555266737938	-1.4770090579986572	-0.05886516720056534	0.011481995694339275	0.0004576049977913499	-0.26920804381370544	-0.010729080997407436	0.3072141110897064	0.01224385667592287
angry.calm	default	dim	43	0	58	25.600807189941406	-0.3503001928329468	-0.013683579862117767	-0.2499716728925705	-0.00976452138274908	-1.0914154052734375	-0.04263323172926903	1.1891305446624756	0.0464501716196537	1.024775505065918	0.040030546486377716	0.7239398956298828	0.028278959915041924	0.2253279834985733	0.008801914751529694	0.1515977382659912	0.005921849049627781
fearful.unflinching	default	dim	15	7	57	28.14534568786621	0.4001672863960266	0.01421830989420414	1.748632550239563	0.0621306337416172	-0.5774611830711365	-0.02051766961812973	0.362748384475708	0.01288873702287674	-0.2262246161699295	-0.008038030937314034	-2.393064022064209	-0.08502806723117828	0.07520956546068192	0.002672281116247177	0.7226952910423279	0.02567833662033081
