component	explained_variance_pct	t0_happy.sad_r	tlast_happy.sad_r	t0_angry.calm_r	tlast_angry.calm_r	t0_fearful.unflinching_r	tlast_fearful.unflinching_r
PC1	13.039907455444336	0.01959121179888028	0.11074335968629595	-0.3693460532905738	-0.1617338806486151	-0.4978426923999537	-0.08778413174929066
PC2	10.013887405395508	0.5963092501809408	0.39806066971359066	0.19495620926548768	0.033717278267788184	-0.07752303270567219	-0.18002082031423217
PC3	8.120680809020996	-0.2752538452612167	-0.06962932996660043	-0.41351067162657	-0.28885967087987385	-0.08082082134238218	-0.04872995608229266
PC4	7.100979804992676	-0.5088044571205379	-0.26504306549372736	0.31879503675802495	0.1111483921329295	0.6444589700171082	0.17067449093367215
PC5	6.230698108673096	-0.19539874782950178	-0.07373961026006468	-0.03368050693136303	0.08309617530070348	0.15607721047766715	0.12346713561565861
PC6	3.82576847076416	0.21792540511290004	0.021590622983552556	-0.007797828193133117	0.038011941764532604	-0.046043171702420276	0.06263385572648952
PC7	3.2047648429870605	-0.10533197785801454	-0.001816277168851797	0.2540514925808913	0.02574668899074041	0.07413041879259089	-0.0781493814153029
PC8	2.5205893516540527	-0.05451803901741187	0.011149801137742821	-0.02214015447398207	-0.023983703331300895	-0.04538637265556397	0.038657459511600475
