size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
3	gemma,ministral,opus	0.18504078665601972	0.7330425747291677	0.08248839695763358	0.8809943987783417	0.4411764705882353	45	0.36535312738783976
3	gemma,gpt_oss_20b,opus	0.18602521775016648	0.7316223408715452	0.08493171235264163	0.877469439774636	0.46078431372549017	47	0.3862815884476535
4	gemma,gpt_oss_20b,ministral,opus	0.18843962112077497	0.7281390931020628	0.08564890679871354	0.876434746903935	0.45098039215686275	46	0.3762149175494157
4	gemma,gpt_oss_20b,granite,opus	0.1908623685077246	0.7246438074615839	0.09323220422285387	0.8654943613165417	0.5	51	0.42721867430081484
4	gemma,granite,ministral,opus	0.19212935518866645	0.7228159320601166	0.09371194004194104	0.8648022488294078	0.49019607843137253	50	0.4160519652097324
5	gemma,gpt_oss_20b,granite,ministral,opus	0.19255743843624537	0.722198338481747	0.09252938442591532	0.8665083159522234	0.49019607843137253	50	0.4158590308370045
3	gemma,opus,qwen	0.1929993723719634	0.7215607625842859	0.08731887869955274	0.8740254867241704	0.45098039215686275	46	0.37553296162676286
4	gemma,haiku,ministral,opus	0.1930084568429981	0.721547656462975	0.08833680136758018	0.8725569347389986	0.4803921568627451	49	0.40697674418604657
5	gemma,gpt_oss_20b,haiku,ministral,opus	0.1942659198809547	0.7197335207740139	0.08977751208242937	0.8704784285353302	0.46078431372549017	47	0.3859457092819615
5	gemma,granite,haiku,ministral,opus	0.19426972456412467	0.7197280317764725	0.0921880300642242	0.867000786197021	0.5196078431372549	53	0.4493775476479014
5	gemma,gpt_oss_20b,granite,haiku,opus	0.19467121787383176	0.719148799369608	0.09348162305263769	0.8651345260077082	0.5294117647058824	54	0.4601984564498345
6	gemma,gpt_oss_20b,granite,haiku,ministral,opus	0.19482192689773875	0.7189313722082001	0.09210933695876013	0.8671143163500262	0.5196078431372549	53	0.4493775476479014
4	gemma,ministral,opus,qwen	0.194894807065158	0.7188262283520852	0.0905801368749762	0.8693204857274284	0.45098039215686275	46	0.3760786455488804
4	gemma,gpt_oss_20b,opus,qwen	0.195516926768517	0.71792869934121	0.09084613001764179	0.8689367387395942	0.46078431372549017	47	0.38587848932676516
4	gemma,gpt_oss_20b,haiku,opus	0.1955618485827999	0.7178638908625162	0.09270451884268224	0.8662556503976648	0.45098039215686275	46	0.3729967069154775
2	gemma,opus	0.19579060882760735	0.71753385959178	0.10548965405790474	0.8478105992255685	0.43137254901960786	44	0.3539368788904663
4	gemma,granite,opus,qwen	0.19616141259203124	0.7169989028397027	0.09452995079826995	0.8636221087678582	0.5	51	0.42828882294757664
6	bol,gemma,gpt_oss_20b,granite,ministral,opus	0.19638662762522055	0.7166739862281868	0.10498544689496617	0.8485380163991207	0.49019607843137253	50	0.41637323943661975
5	gemma,gpt_oss_20b,granite,opus,qwen	0.19686288813556016	0.7159868875517486	0.09479173444548582	0.8632444347982341	0.5	51	0.4270925110132159
