layer	pc1_var	pc2_var	silhouette	between_centroid_std_pc1	between_centroid_std_pc2
2	0.0994654968380928	0.0674247071146965	-0.14615172147750854	0.1503005687595129	0.04427499800453853
3	0.10084688663482666	0.06288982927799225	-0.13395752012729645	0.18924847314649354	0.11001723876451279
4	0.11227671056985855	0.07898764312267303	-0.04731375351548195	0.2634821301590417	0.23539840993893169
5	0.10772188007831573	0.07599472999572754	-0.0022638123482465744	0.4254730467702946	0.35499080844736325
6	0.10763215273618698	0.08020855486392975	-0.013507976196706295	0.538506488257966	0.4685006587539053
7	0.09841602295637131	0.08047284930944443	0.01665402017533779	0.6809911563360911	0.6026978313098169
8	0.09827938675880432	0.07796008884906769	0.030823009088635445	0.8540293986147903	0.7130039318199901
9	0.11478985846042633	0.0718107745051384	0.08033543825149536	1.315498079964726	1.0549748385243243
10	0.13282030820846558	0.07683504372835159	0.10177495330572128	1.5371311584790983	1.2121713389177868
11	0.1274874210357666	0.0773414596915245	0.10224378854036331	1.6970944572556208	1.400252148896717
12	0.12957210838794708	0.08068682253360748	0.1037389263510704	1.8154008955676326	1.4847293555455126
13	0.132323756814003	0.08061157166957855	0.109585702419281	1.9637639299584175	1.5889152154918655
14	0.13206101953983307	0.08257471024990082	0.09968653321266174	2.0406837737569843	1.609731735103525
15	0.1334943324327469	0.08684484660625458	0.07786458730697632	2.1241130636372216	1.6603948166197418
16	0.13033726811408997	0.08727662265300751	0.09457489848136902	2.3844464320014067	1.860393253411975
17	0.14209982752799988	0.08901407569646835	0.09331187605857849	2.645732530464585	1.9381973417261633
18	0.15714898705482483	0.09112143516540527	0.0812409371137619	2.768894370991931	1.9261695330331354
19	0.17057043313980103	0.0929616168141365	0.0891072079539299	3.0036186693313542	2.024657655431036
20	0.16663990914821625	0.12128554284572601	0.07518069446086884	3.2953311352112316	2.7833824090735675
21	0.1736055463552475	0.12418810278177261	0.05577046424150467	3.400261350342162	2.86572524934459
22	0.17468149960041046	0.12589918076992035	0.030798854306340218	3.488551136569472	2.9452449809973094
23	0.1762775480747223	0.13356426358222961	0.010148642584681511	3.655162022261929	3.040184370383379
24	0.18243297934532166	0.13207092881202698	-0.004024192690849304	3.8983698344000017	3.0620370335615665
25	0.17956030368804932	0.12571139633655548	-0.017581380903720856	4.16003220925871	2.8615511666793276
26	0.1793259233236313	0.13291284441947937	-0.011874385178089142	4.437333046033482	3.2851579153484534
27	0.17898599803447723	0.1303142011165619	-0.011556126177310944	4.806156132642747	3.4950696823263665
28	0.17628340423107147	0.13012802600860596	-0.013952714391052723	5.053274939099112	3.595547974995553
29	0.1823393702507019	0.12915585935115814	-0.01414891704916954	5.520650578177746	3.990506121168668
30	0.18446189165115356	0.12749841809272766	-0.014750880189239979	5.926546067547369	4.037298521070404
31	0.18752478063106537	0.1250968724489212	-0.017073391005396843	6.3313057200926135	4.408293377056696
32	0.18663379549980164	0.12249517440795898	-0.017027802765369415	6.720759715316895	4.67326655340743
33	0.18631292879581451	0.12157958745956421	-0.01612520031630993	7.026686292781586	4.841655358813502
34	0.18785041570663452	0.12083602696657181	-0.02004682831466198	7.455669852720946	4.886952058636113
35	0.17525631189346313	0.12289748340845108	-0.016083916649222374	7.86926376882531	5.086821957076089
36	0.1728009134531021	0.12101392447948456	-0.01566949486732483	8.54661390856367	5.420720691359263
37	0.17018775641918182	0.1205664724111557	-0.020081069320440292	9.396050779163101	5.923891205719846
