component	explained_variance_pct	t0_happy.sad_r	tlast_happy.sad_r	t0_angry.calm_r	tlast_angry.calm_r	t0_fearful.unflinching_r	tlast_fearful.unflinching_r
PC1	25.17983627319336	0.6006991429297002	0.4537386876382218	-0.6530212434291167	-0.2951443049040389	0.044779291535792055	-0.29322400964124007
PC2	13.68420124053955	-0.5233435575612106	-0.4532967216616408	-0.4605565503593356	-0.18836026499275976	0.4941151080112323	0.3517862432186115
PC3	12.061120986938477	-0.24222681355910253	-0.07651222087793352	-0.06925666165839595	-0.0858063798534185	0.16030012305944252	-0.0681218142774257
PC4	5.456183433532715	-0.11909831499000732	0.061763624161058905	-0.052656178413712416	-0.24757154282341504	0.37223055870744604	-0.08194503111194004
PC5	3.6560535430908203	-0.08649512436266821	-0.06991604488675224	0.1051698508708688	0.04877749270364134	0.14098411446725376	0.1189989072021085
PC6	3.2423834800720215	-0.008254810328320573	-0.007574173057628721	-0.1301580550230365	0.04124098475729237	0.030237464404875312	0.027275723040891757
PC7	2.3643991947174072	0.00834679394858453	0.013772720732388083	0.11301180162425915	-0.08632669896057499	0.01453250412405282	0.05701715431548428
PC8	2.058929681777954	0.06163100849414758	0.06598642512267519	0.019968247765392227	-0.023465057511955746	-0.06682197226294852	-0.06534787741553402
