model	n_prompts	n_pairs	n_rows	spearman_rho	spearman_p
gemma	180	16110	1440	0.56507	0.00000
qwen	180	16110	1419	0.67186	0.00000
ministral	180	16110	1359	0.29494	0.00000
gpt_oss_20b	180	16110	1439	0.22821	0.00000
granite	178	15753	1156	0.45759	0.00000
