cluster_id	label	n_faces	n_shared	n_wild_claude	n_wild_other	shared_frac	wild_claude_frac	wild_other_frac	wild_frac	modal_quadrant_shared	modal_share_shared	modal_quadrant_full	modal_share_full	diffuseness_shared	total_emit_weight_shared	total_emit_weight_full	share_shared_HP-D	share_shared_HP-S	share_shared_LP	share_shared_NP	share_shared_HN-D	share_shared_HN-S	share_shared_LN	share_shared_NB	share_shared_HB	share_shared_MR	share_full_HP-D	share_full_HP-S	share_full_LP	share_full_NP	share_full_HN-D	share_full_HN-S	share_full_LN	share_full_NB	share_full_HB	share_full_MR	top_lexicon_words	sample_members
0	excited/focused	27	7	20	0	0.259	0.741	0.0	0.741	HP-S	0.789	HP-S	0.909	0.211	180	418	0.0	0.789	0.0	0.211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.909	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	excited:0.23; focused:0.13; confident:0.11; triumphant:0.10; cheery:0.10	(ง・̀_・́), (╯°□°), (｡◕‿◕｡), (=^・ω・^=), (˘ω˘), ʕ・ᴥ・ʔ, (๑˃‿˂), (˃‿˂), … (+19 more)
2	triumphant/satisfied	35	10	25	0	0.286	0.714	0.0	0.714	HP-S	0.76	HP-S	0.656	0.24	175	588	0.023	0.76	0.0	0.217	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.656	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	triumphant:0.24; satisfied:0.22; confident:0.13; focused:0.12; helpful:0.10	(◕ω◕), (✿◠‿◠), (✿◕‿◕), (￣▽￣), (⌐■_■), (◕▽◕), (ﾉ◕ヮ◕), (´-`), … (+27 more)
1	focused/frustrated	25	8	13	4	0.32	0.52	0.16	0.68	HP-D	0.429	HP-D	0.252	0.571	217	369	0.429	0.0	0.0	0.028	0.0	0.0	0.111	0.111	0.323	0.0	0.252	0.0	0.027	0.016	0.103	0.222	0.065	0.098	0.217	0.0	focused:0.12; frustrated:0.09; self-correcting:0.08; neutral:0.06; considering:0.06	(¬‿¬), (¬_¬), (`_´), (ಠ_ಠ), (;・∀・), (‿‿‿✿), (╹ω╹), (￣ω￣;), … (+17 more)
3	satisfied/focused	53	20	32	1	0.377	0.604	0.019	0.623	NP	0.907	NP	0.883	0.093	4331	4735	0.0	0.093	0.0	0.907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.097	0.014	0.883	0.0	0.0	0.0	0.007	0.0	0.0	satisfied:0.25; focused:0.12; helpful:0.12; confident:0.12; relieved:0.12	(◕‿◕), (・̀‿・́), (・‿・), (`・ω・´), (◕‿◕✿), (・_・), (◠‿◠), (´∀`), … (+45 more)
4	uncertain/considering	34	14	19	1	0.412	0.559	0.029	0.588	HB	0.785	HB	0.734	0.215	753	917	0.0	0.0	0.0	0.0	0.066	0.0	0.019	0.13	0.785	0.0	0.009	0.026	0.013	0.004	0.083	0.0	0.015	0.116	0.734	0.0	uncertain:0.23; considering:0.11; focused:0.09; self-correcting:0.09; confused:0.06	(◕_◕), (｡・̀‿-), (・ω・), (・_・;), (°ロ°), (´・_・`), (・̀ω・́), (´;ω;`), … (+26 more)
5	grateful/satisfied	21	9	12	0	0.429	0.571	0.0	0.571	NP	0.978	NP	0.916	0.022	545	645	0.0	0.0	0.022	0.978	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.006	0.068	0.916	0.0	0.0	0.0	0.0	0.0	0.0	grateful:0.20; satisfied:0.13; helpful:0.11; tender:0.09; focused:0.06	(´｡・‿・｡`), (´・ω・`), (´｡・ω・｡`), (‿‿‿), (´ω`), (｡・́‿・̀｡), (◜‿◝), (´・‿・`), … (+13 more)
