cluster_id	label	n_faces	n_shared	n_wild_claude	n_wild_other	shared_frac	wild_claude_frac	wild_other_frac	wild_frac	modal_quadrant_shared	modal_share_shared	modal_quadrant_full	modal_share_full	diffuseness_shared	total_emit_weight_shared	total_emit_weight_full	share_shared_HP-D	share_shared_HP-S	share_shared_LP	share_shared_NP	share_shared_HN-D	share_shared_HN-S	share_shared_LN	share_shared_NB	share_shared_HB	share_full_HP-D	share_full_HP-S	share_full_LP	share_full_NP	share_full_HN-D	share_full_HN-S	share_full_LN	share_full_NB	share_full_HB	top_lexicon_words	sample_members
1	satisfied/focused	39	39	0	0	1.0	0.0	0.0	0.0	NP	0.968	NP	0.968	0.032	4058	4058	0.001	0.027	0.004	0.968	0.0	0.0	0.0	0.0	0.0	0.001	0.027	0.004	0.968	0.0	0.0	0.0	0.0	0.0	satisfied:0.20; focused:0.10; confident:0.10; helpful:0.09; relieved:0.09	(◕‿◕), (・‿・), (`・ω・´), (´｡・‿・｡`), (´・ω・`), (・_・), (◠‿◠), (｡・‿・｡), … (+31 more)
2	uncertain/focused	25	25	0	0	1.0	0.0	0.0	0.0	HB	0.68	HB	0.68	0.32	972	972	0.098	0.0	0.0	0.002	0.051	0.004	0.039	0.126	0.68	0.098	0.0	0.0	0.002	0.051	0.004	0.039	0.126	0.68	uncertain:0.16; focused:0.10; self-correcting:0.09; considering:0.08; helpful:0.06	(◕_◕), (｡・̀‿-), (・ω・), (¬‿¬), (・_・;), (¬_¬), (°ロ°), (´・_・`), … (+17 more)
0	cheery/excited	16	16	0	0	1.0	0.0	0.0	0.0	NP	0.522	NP	0.522	0.478	1181	1181	0.0	0.478	0.0	0.522	0.0	0.0	0.0	0.0	0.0	0.0	0.478	0.0	0.522	0.0	0.0	0.0	0.0	0.0	cheery:0.19; excited:0.13; helpful:0.13; satisfied:0.12; focused:0.11	(・̀‿・́), (◕‿◕✿), (´∀`), (╯°□°), (｡◕‿◕｡), (˘ω˘), ʕ・ᴥ・ʔ, (≧▽≦), … (+8 more)
